Ozone,Solar,Wind,Temp,PM25,PM10,Index,Month,Day
41,190,7.4,67,159,125,2,5,1
36,118,8,72,55,63,2,5,2
12,149,12.6,74,36,116,9,5,3
18,313,11.5,62,120,128,9,5,4
,,14.3,56,134,119,1,5,5
28,,14.9,66,84,114,3,5,6
23,299,8.6,65,195,118,6,5,7
19,99,,59,,,,5,8
8,19,20.1,61,,,,5,9
,194,8.6,69,132,91,7,5,10
7,,6.9,,134,115,3,5,11
16,256,9.7,69,123,63,5,5,12
11,290,9.2,66,200,139,1,5,13
14,274,10.9,68,147,70,5,5,14
18,65,13.2,58,160,102,9,5,15
14,334,11.5,64,18,93,1,5,16
34,307,,,95,141,4,5,17
6,78,18.4,57,22,55,5,5,18
30,322,11.5,68,6,106,6,5,19
11,44,9.7,62,163,109,3,5,20
1,8,9.7,59,41,92,5,5,21
11,320,16.6,73,141,82,1,5,22
4,25,9.7,61,21,87,2,5,23
32,92,12,61,3,58,8,5,24
,66,16.6,57,185,79,9,5,25
,266,14.9,58,55,131,5,5,26
,,8,57,147,120,8,5,27
23,13,12,67,175,59,8,5,28
45,252,14.9,81,115,139,7,5,29
115,223,5.7,79,188,87,2,5,30
37,279,7.4,76,98,92,3,5,31
,286,8.6,78,30,52,9,6,1
,287,9.7,74,69,55,5,6,2
,242,16.1,67,191,103,2,6,3
,186,9.2,84,76,136,1,6,4
,220,8.6,85,161,108,7,6,5
,264,14.3,79,152,107,9,6,6
29,127,9.7,82,198,113,3,6,7
,273,6.9,87,170,69,4,6,8
71,291,13.8,90,144,82,3,6,9
39,323,11.5,87,146,56,6,6,10
,259,,93,23,52,6,6,11
,250,9.2,92,127,112,9,6,12
23,148,8,82,199,135,6,6,13
,332,13.8,80,131,105,7,6,14
,322,11.5,79,58,83,9,6,15
21,191,14.9,77,8,145,8,6,16
37,284,20.7,72,69,96,9,6,17
20,37,9.2,65,,,,6,18
12,120,11.5,73,,,,6,19
13,137,10.3,76,102,81,3,6,20
,150,6.3,77,136,119,9,6,21
,59,1.7,,185,73,6,6,22
,91,4.6,76,37,128,1,6,23
,250,6.3,76,70,65,1,6,24
,135,,,131,79,5,6,25
,127,8,78,55,86,6,6,26
,47,10.3,73,120,71,3,6,27
,98,11.5,80,120,113,2,6,28
,31,14.9,77,28,139,5,6,29
,138,8,83,136,61,2,6,30
135,269,4.1,84,16,128,5,7,1
49,248,9.2,85,58,139,1,7,2
32,236,9.2,81,19,71,5,7,3
,101,10.9,84,1,123,9,7,4
64,175,4.6,83,81,92,6,7,5
40,314,10.9,83,53,59,7,7,6
77,276,5.1,88,77,144,2,7,7
97,267,6.3,92,172,135,3,7,8
97,272,5.7,92,148,87,9,7,9
85,175,,,4,66,4,7,10
,139,8.6,82,152,101,3,7,11
10,264,14.3,73,45,97,3,7,12
27,175,14.9,81,156,132,1,7,13
,291,14.9,91,140,92,5,7,14
7,48,14.3,80,158,68,9,7,15
48,260,6.9,81,80,91,7,7,16
35,274,10.3,82,131,140,9,7,17
61,285,6.3,84,82,102,2,7,18
79,187,5.1,87,118,140,1,7,19
63,220,11.5,85,86,148,2,7,20
16,7,6.9,74,66,64,5,7,21
,258,9.7,81,120,138,5,7,22
,295,11.5,,,,,7,23
80,294,8.6,86,,,,7,24
108,223,8,85,79,60,9,7,25
20,81,8.6,82,103,108,7,7,26
52,82,12,86,55,112,2,7,27
82,213,,88,174,110,2,7,28
50,275,7.4,86,94,120,4,7,29
64,253,7.4,83,103,80,1,7,30
59,254,9.2,81,134,105,9,7,31
39,83,6.9,81,70,108,6,8,1
9,24,13.8,81,145,82,2,8,2
16,77,7.4,82,125,71,8,8,3
78,,6.9,86,147,72,9,8,4
35,,7.4,85,169,117,2,8,5
66,,4.6,87,95,116,5,8,6
122,255,4,89,123,113,5,8,7
89,229,10.3,90,122,77,3,8,8
110,207,8,90,31,65,1,8,9
,222,8.6,92,178,123,4,8,10
,137,11.5,86,51,114,3,8,11
44,192,11.5,86,198,78,1,8,12
28,273,11.5,82,65,136,6,8,13
65,157,9.7,80,137,114,6,8,14
,64,,,143,134,2,8,15
22,71,10.3,77,95,142,4,8,16
59,51,6.3,79,107,104,9,8,17
23,115,7.4,76,53,80,4,8,18
31,244,10.9,78,49,60,5,8,19
44,190,10.3,78,61,63,4,8,20
21,259,15.5,77,,,,8,21
9,36,14.3,,,,,8,22
,255,12.6,75,104,62,3,8,23
45,212,9.7,79,64,52,8,8,24
168,238,3.4,81,22,89,2,8,25
73,215,8,86,146,113,2,8,26
,153,5.7,88,14,121,8,8,27
76,203,9.7,97,41,132,3,8,28
118,225,2.3,94,55,70,9,8,29
84,237,,96,18,80,3,8,30
85,188,6.3,94,149,78,5,8,31
96,167,6.9,91,147,133,5,9,1
78,197,5.1,,89,103,7,9,2
73,183,2.8,93,136,120,4,9,3
91,189,4.6,93,194,125,9,9,4
47,95,7.4,87,124,95,9,9,5
32,92,,,117,121,2,9,6
20,252,10.9,80,178,52,9,9,7
23,220,10.3,78,125,134,8,9,8
21,230,10.9,75,185,139,8,9,9
24,259,9.7,73,92,144,2,9,10
44,236,14.9,81,170,144,4,9,11
21,259,15.5,76,57,64,8,9,12
28,238,6.3,77,60,126,8,9,13
9,24,10.9,71,39,54,8,9,14
13,112,11.5,71,43,83,4,9,15
46,237,6.9,78,18,101,3,9,16
18,224,13.8,67,40,51,6,9,17
13,27,10.3,76,86,97,9,9,18
24,238,10.3,68,94,61,3,9,19
16,201,8,82,67,145,1,9,20
13,238,12.6,64,59,91,7,9,21
23,14,9.2,71,,,,9,22
36,139,10.3,81,,,,9,23
7,49,10.3,69,123,139,7,9,24
14,20,16.6,63,69,138,2,9,25
30,193,6.9,70,101,117,9,9,26
,145,13.2,77,79,71,5,9,27
14,191,,75,26,114,7,9,28
18,131,8,76,34,123,8,9,29
20,223,11.5,68,142,122,9,9,30
